First_name,Last_name,DOB,Gender,Type,Term_start,Term_end,State
Philemon,Dickinson,1739-04-05,M,sen,1790-01-01,1793-03-03,NJ
John,Walker,1744-02-13,M,sen,1790-01-01,1791-03-03,VA
John,Ashe,#N/A,M,rep,1789-03-04,1791-03-03,NC
Robert,Barnwell,1761-12-21,M,rep,1791-10-24,1793-03-03,SC
Aaron,Burr,1756-02-06,M,sen,1791-10-24,1797-03-03,NY
George,Cabot,1752-12-03,M,sen,1791-10-24,1797-03-03,MA
Charles,Carroll,1737-09-19,M,sen,1789-03-04,1791-03-03,MD
Oliver,Ellsworth,1745-04-29,M,sen,1789-03-04,1791-03-03,CT
Elbridge,Gerry,1744-07-17,M,rep,1789-03-04,1791-03-03,MA
Daniel,Huger,1742-02-20,M,rep,1789-03-04,1791-03-03,SC
Israel,Jacobs,1726-06-09,M,rep,1791-10-24,1793-03-03,PA
Philip,Key,#N/A,M,rep,1791-10-24,1793-03-03,MD
George,Read,1733-09-18,M,sen,1789-03-04,1791-03-03,DE
Moses,Robinson,1741-03-22,M,sen,1791-10-24,1796-10-15,VT
Cornelius,Schoonmaker,#N/A,M,rep,1791-10-24,1793-03-03,NY
Joshua,Seney,1756-03-04,M,rep,1789-03-04,1791-03-03,MD
Upton,Sheredine,#N/A,M,rep,1791-10-24,1793-03-03,MD
Roger,Sherman,1721-04-19,M,rep,1789-03-04,1791-03-03,CT
Peter,Silvester,#N/A,M,rep,1789-03-04,1791-03-03,NY
John,Steele,1764-11-16,M,rep,1789-03-04,1791-03-03,NC
Samuel,Sterett,#N/A,M,rep,1791-10-24,1793-03-03,MD
Jonathan,Sturges,1740-08-23,M,rep,1789-03-04,1791-03-03,CT
Thomas,Tucker,1745-06-25,M,rep,1789-03-04,1791-03-03,SC
Anthony,Wayne,1745-01-01,M,rep,1791-10-24,1793-03-03,GA
Alexander,White,#N/A,M,rep,1789-03-04,1791-03-03,VA
Hugh,Williamson,1735-12-05,M,rep,1789-03-04,1791-03-03,NC
Francis,Willis,1745-01-05,M,rep,1791-10-24,1793-03-03,GA
John,Edwards,#N/A,M,sen,1792-01-01,1795-03-03,KY
Richard,Potts,1753-07-19,M,sen,1793-01-10,1796-10-14,MD
James,Armstrong,1748-08-29,M,rep,1793-12-02,1795-03-03,PA
John,Beatty,1749-12-10,M,rep,1793-12-02,1795-03-03,NJ
Elias,Boudinot,1740-05-02,M,rep,1789-03-04,1791-03-03,NJ
Shearjashub,Bourne,1746-06-14,M,rep,1791-10-24,1793-03-03,MA
William,Bradford,1729-11-04,M,sen,1793-12-02,1797-12-31,RI
Lambert,Cadwalader,#N/A,M,rep,1789-03-04,1791-03-03,NJ
Thomas,Carnes,#N/A,M,rep,1793-12-02,1795-03-03,GA
Abraham,Clark,1726-02-15,M,rep,1791-10-24,1793-03-03,NJ
David,Cobb,1748-09-14,M,rep,1793-12-02,1795-03-03,MA
Peleg,Coffin,1756-11-03,M,rep,1793-12-02,1795-03-03,MA
William,Dawson,#N/A,M,rep,1793-12-02,1795-03-03,NC
Benjamin,Edwards,1753-08-12,M,rep,1793-12-02,1795-03-03,MD
Thomas,Fitzsimons,#N/A,M,rep,1789-03-04,1791-03-03,PA
Uriah,Forrest,#N/A,M,rep,1793-12-02,1795-03-03,MD
Frederick,Frelinghuysen,1753-04-13,M,sen,1793-12-02,1797-03-03,NJ
Alexander,Gillon,#N/A,M,rep,1793-12-02,1795-03-03,SC
James,Gordon,1739-10-31,M,rep,1791-10-24,1793-03-03,NY
Samuel,Griffin,#N/A,M,rep,1789-03-04,1791-03-03,VA
Samuel,Holten,1738-06-09,M,rep,1793-12-02,1795-03-03,MA
William,Irvine,1741-11-03,M,rep,1793-12-02,1795-03-03,PA
Amasa,Learned,1750-11-15,M,rep,1791-10-24,1793-03-03,CT
Richard,Lee,1761-01-20,M,rep,1789-03-04,1791-03-03,VA
Alexander,Martin,#N/A,M,sen,1793-12-02,1799-03-03,NC
Joseph,McDowell,1758-02-25,M,rep,1793-12-02,1795-03-03,NC
Alexander,Mebane,1744-11-26,M,rep,1793-12-02,1795-03-03,NC
John,Mercer,1759-05-17,M,rep,1791-10-24,1793-03-03,MD
Stephen,Mitchell,1743-12-09,M,sen,1793-12-02,1795-03-03,CT
William,Montgomery,1736-08-03,M,rep,1793-12-02,1795-03-03,PA
Joseph,Neville,#N/A,M,rep,1793-12-02,1795-03-03,VA
Nathaniel,Niles,1741-04-03,M,rep,1791-10-24,1793-03-03,VT
Andrew,Pickens,1739-09-13,M,rep,1793-12-02,1795-03-03,SC
Thomas,Scott,#N/A,M,rep,1789-03-04,1791-03-03,PA
Caleb,Strong,1745-01-09,M,sen,1789-03-04,1793-03-03,MA
Silas,Talbot,1751-01-11,M,rep,1793-12-02,1795-03-03,NY
Thomas,Tredwell,1743-02-06,M,rep,1791-10-24,1793-03-03,NY
Peter,Van Gaasbeck,1754-09-27,M,rep,1793-12-02,1795-03-03,NY
John,Vining,1758-12-23,M,rep,1789-03-04,1791-03-03,DE
Jeremiah,Wadsworth,1743-07-12,M,rep,1789-03-04,1791-03-03,CT
Francis,Walker,1764-06-22,M,rep,1793-12-02,1795-03-03,VA
Artemas,Ward,1727-11-26,M,rep,1791-10-24,1793-03-03,MA
John,Watts,1749-08-27,M,rep,1793-12-02,1795-03-03,NY
Benjamin,Williams,1751-01-01,M,rep,1793-12-02,1795-03-03,NC
Paine,Wingate,1739-05-14,M,sen,1789-03-04,1793-03-03,NH
Henry,Tazewell,1753-11-27,M,sen,1794-01-01,1799-03-03,VA
George,Walton,#N/A,M,sen,1795-11-16,1796-02-20,GA
Fisher,Ames,1758-04-09,M,rep,1789-03-04,1791-03-03,MA
William,Bingham,1752-03-08,M,sen,1795-12-07,1801-03-03,PA
Timothy,Bloodworth,#N/A,M,rep,1789-03-04,1791-03-03,NC
Benjamin,Bourne,1755-09-09,M,rep,1789-03-04,1791-03-03,RI
Daniel,Buck,1753-11-09,M,rep,1795-12-07,1797-03-03,VT
Isaac,Coles,1747-03-02,M,rep,1789-03-04,1791-03-03,VA
Jeremiah,Crabb,#N/A,M,rep,1795-12-07,1797-03-03,MD
Henry,Dearborn,1751-02-23,M,rep,1793-12-02,1795-03-03,MA
Gabriel,Duvall,1752-12-06,M,rep,1793-12-02,1795-03-03,MD
Samuel,Earle,1760-11-28,M,rep,1795-12-07,1797-03-03,SC
Ezekiel,Gilbert,1756-03-25,M,rep,1793-12-02,1795-03-03,NY
Christopher,Greenup,#N/A,M,rep,1791-10-24,1793-03-03,KY
James,Gunn,1753-03-13,M,sen,1789-03-04,1795-03-03,GA
George,Hancock,1754-06-13,M,rep,1793-12-02,1795-03-03,VA
John,Hathorn,1749-01-09,M,rep,1789-03-04,1791-03-03,NY
John,Heath,1758-05-08,M,rep,1793-12-02,1795-03-03,VA
Thomas,Henderson,1743-08-15,M,rep,1795-12-07,1797-03-03,NJ
John,Henry,#N/A,M,sen,1789-03-04,1795-03-03,MD
John,Langdon,1741-06-26,M,sen,1789-03-04,1795-03-03,NH
George,Leonard,1729-07-04,M,rep,1789-03-04,1791-03-03,MA
William,Lyman,1755-12-07,M,rep,1793-12-02,1795-03-03,MA
Humphrey,Marshall,#N/A,M,sen,1795-12-07,1801-03-03,KY
Frederick,Muhlenberg,1750-01-01,M,rep,1789-03-04,1791-03-03,PA
William,Murray,1760-02-09,M,rep,1791-10-24,1793-03-03,MD
Alexander,Orr,1761-11-06,M,rep,1791-10-24,1793-03-03,KY
John,Page,1743-04-17,M,rep,1789-03-04,1791-03-03,VA
Elijah,Paine,1757-01-21,M,sen,1795-12-07,1801-03-03,VT
John,Patten,1746-04-26,M,rep,1793-12-02,1795-03-03,DE
Francis,Preston,1765-08-02,M,rep,1793-12-02,1795-03-03,VA
Jacob,Read,#N/A,M,sen,1795-12-07,1801-03-03,SC
John,Richards,1753-04-18,M,rep,1795-12-07,1797-03-03,PA
Robert,Rutherford,1728-10-20,M,rep,1793-12-02,1795-03-03,VA
John,Sherburne,#N/A,M,rep,1793-12-02,1795-03-03,NH
Isaac,Smith,#N/A,M,rep,1795-12-07,1797-03-03,NJ
Thomas,Sprigg,#N/A,M,rep,1793-12-02,1795-03-03,MD
William,Strudwick,#N/A,M,rep,1795-12-07,1797-03-03,NC
Zephaniah,Swift,1759-02-27,M,rep,1793-12-02,1795-03-03,CT
Absalom,Tatom,#N/A,M,rep,1795-12-07,1797-03-03,NC
Jonathan,Trumbull,1740-03-26,M,rep,1789-03-04,1791-03-03,CT
James,White,1749-06-16,M,rep,1793-12-02,1795-03-03,TN
William,Blount,1749-03-26,M,sen,1796-01-01,1797-12-31,TN
Benjamin,Goodhue,1748-09-20,M,rep,1789-03-04,1791-03-03,MA
John,Howard,1752-06-04,M,sen,1796-12-05,1797-03-04,MD
John,Hunter,#N/A,M,rep,1793-12-02,1795-03-03,SC
John,Laurance,#N/A,M,rep,1789-03-04,1791-03-03,NY
Josiah,Tattnall,#N/A,M,sen,1796-01-01,1799-03-03,GA
John,Allen,1763-06-12,M,rep,1797-05-15,1799-03-03,CT
Lemuel,Benton,#N/A,M,rep,1793-12-02,1795-03-03,SC
Theophilus,Bradbury,1739-11-13,M,rep,1795-12-07,1797-03-03,MA
David,Brooks,#N/A,M,rep,1797-05-15,1799-03-03,NY
Nathan,Bryan,#N/A,M,rep,1795-12-07,1797-03-03,NC
Stephen,Bullock,1735-10-10,M,rep,1797-05-15,1799-03-03,MA
Dempsey,Burges,#N/A,M,rep,1795-12-07,1797-03-03,NC
John,Chapman,1740-10-18,M,rep,1797-05-15,1799-03-03,PA
Nathaniel,Chipman,1752-11-15,M,sen,1797-05-15,1803-03-03,VT
James,Cochran,1769-02-11,M,rep,1797-05-15,1799-03-03,NY
Joshua,Coit,1758-10-07,M,rep,1793-12-02,1795-03-03,CT
James,Davenport,1758-10-12,M,rep,1795-12-07,1797-03-03,CT
George,Ege,1748-03-09,M,rep,1795-12-07,1797-03-03,PA
Theodore,Foster,1752-04-29,M,sen,1790-06-12,1791-03-03,RI
Nathaniel,Freeman,1766-05-01,M,rep,1795-12-07,1797-03-03,MA
Carter,Harrison,#N/A,M,rep,1793-12-02,1795-03-03,VA
Hezekiah,Hosmer,1765-06-07,M,rep,1797-05-15,1799-03-03,NY
Henry,Latimer,1752-04-24,M,rep,1793-12-02,1795-03-03,DE
James,Lloyd,#N/A,M,sen,1797-05-15,1801-03-03,MD
Matthew,Locke,#N/A,M,rep,1793-12-02,1795-03-03,NC
James,Machir,#N/A,M,rep,1797-05-15,1799-03-03,VA
Stevens,Mason,1760-12-29,M,sen,1794-01-01,1797-03-03,VA
William,Matthews,1755-04-26,M,rep,1797-05-15,1799-03-03,MD
Blair,McClenachan,#N/A,M,rep,1797-05-15,1799-03-03,PA
Joseph,McDowell,1756-02-15,M,rep,1797-05-15,1799-03-03,NC
Daniel,Morgan,#N/A,M,rep,1797-05-15,1799-03-03,VA
Isaac,Parker,1768-06-17,M,rep,1797-05-15,1799-03-03,MA
James,Ross,1762-07-12,M,sen,1794-01-01,1797-03-03,PA
John,Rutherfurd,1760-09-20,M,sen,1791-10-24,1797-03-03,NJ
Philip,Schuyler,1733-11-20,M,sen,1789-03-04,1791-03-03,NY
Thomas,Sinnickson,1744-12-21,M,rep,1789-03-04,1791-03-03,NJ
Samuel,Sitgreaves,1764-03-16,M,rep,1795-12-07,1797-03-03,PA
Jeremiah,Smith,1759-11-29,M,rep,1791-10-24,1793-03-03,NH
Nathaniel,Smith,1762-01-06,M,rep,1795-12-07,1797-03-03,CT
William,Smith,1751-09-20,M,rep,1797-05-15,1799-03-03,SC
William,Smith,#N/A,M,rep,1789-03-04,1791-03-03,SC
Peleg,Sprague,1756-12-10,M,rep,1797-05-15,1799-03-03,NH
John,Swanwick,#N/A,M,rep,1795-12-07,1797-03-03,PA
Mark,Thomson,#N/A,M,rep,1795-12-07,1797-03-03,NJ
John,Van Alen,#N/A,M,rep,1793-12-02,1795-03-03,NY
John,Williams,#N/A,M,rep,1795-12-07,1797-03-03,NY
Joshua,Clayton,1744-07-20,M,sen,1798-01-01,1799-03-03,DE
John,Hobart,1738-05-06,M,sen,1798-01-01,1799-03-03,NY
William,North,#N/A,M,sen,1798-01-01,1799-03-03,NY
James,Watson,1750-04-06,M,sen,1798-01-01,1801-03-03,NY
Bailey,Bartlett,1750-01-29,M,rep,1797-05-15,1799-03-03,MA
Jonathan,Brace,1754-11-12,M,rep,1797-05-15,1799-03-03,CT
John,Brown,1736-01-27,M,rep,1799-12-02,1801-03-03,RI
John,Brown,1757-09-12,M,rep,1789-03-04,1791-03-03,VA
Gabriel,Christie,1775-09-12,M,rep,1793-12-02,1795-03-03,MD
William,Cocke,#N/A,M,sen,1796-01-01,1797-03-03,TN
William,Cooper,1754-12-02,M,rep,1795-12-07,1797-03-03,NY
William,Craik,1761-10-31,M,rep,1795-12-07,1797-03-03,MD
Franklin,Davenport,#N/A,M,sen,1798-12-05,1799-03-03,NJ
Jonathan,Dayton,1760-10-16,M,rep,1791-10-24,1793-03-03,NJ
George,Dent,#N/A,M,rep,1793-12-02,1795-03-03,MD
Samuel,Dexter,1761-05-14,M,rep,1793-12-02,1795-03-03,MA
Joseph,Dickson,#N/A,M,rep,1799-12-02,1801-03-03,NC
William,Edmond,1755-09-28,M,rep,1797-05-15,1799-03-03,CT
Joseph,Eggleston,1754-11-24,M,rep,1797-05-15,1799-03-03,VA
Thomas,Evans,#N/A,M,rep,1797-05-15,1799-03-03,VA
Jonathan,Freeman,1745-03-21,M,rep,1797-05-15,1799-03-03,NH
Albert,Gallatin,1761-01-29,M,rep,1795-12-07,1797-03-03,PA
Henry,Glen,1739-07-13,M,rep,1793-12-02,1795-03-03,NY
Samuel,Goode,1756-03-21,M,rep,1799-12-02,1801-03-03,VA
Elizur,Goodrich,1761-03-24,M,rep,1799-12-02,1801-03-03,CT
William,Gordon,1763-04-12,M,rep,1797-05-15,1799-03-03,NH
Ray,Greene,1765-02-02,M,sen,1797-05-15,1799-03-03,RI
Thomas,Hartley,1748-09-07,M,rep,1789-03-04,1791-03-03,PA
Jonathan,Havens,1757-06-18,M,rep,1795-12-07,1797-03-03,NY
James,Imlay,1764-11-26,M,rep,1797-05-15,1799-03-03,NJ
James,Jones,#N/A,M,rep,1799-12-02,1801-03-03,GA
John,Kittera,#N/A,M,rep,1791-10-24,1793-03-03,PA
Henry,Lee,1756-01-29,M,rep,1799-12-02,1801-03-03,VA
James,Linn,#N/A,M,rep,1799-12-02,1801-03-03,NJ
Samuel,Livermore,1732-05-14,M,rep,1789-03-04,1791-03-03,NH
Samuel,Lyman,1749-01-25,M,rep,1795-12-07,1797-03-03,MA
John,Marshall,1755-09-24,M,rep,1799-12-02,1801-03-03,VA
William,McMillan,1764-03-02,M,rep,1799-12-02,1801-03-03,OH
John,Nicholas,#N/A,M,rep,1793-12-02,1795-03-03,VA
Abraham,Nott,1768-02-05,M,rep,1799-12-02,1801-03-03,SC
Robert,Page,1765-02-04,M,rep,1799-12-02,1801-03-03,VA
Josiah,Parker,1751-05-11,M,rep,1789-03-04,1791-03-03,VA
Thomas,Pinckney,1750-10-23,M,rep,1797-05-15,1799-03-03,SC
Jonas,Platt,1769-06-30,M,rep,1799-12-02,1801-03-03,NY
Leven,Powell,#N/A,M,rep,1799-12-02,1801-03-03,VA
John,Reed,1751-11-11,M,rep,1795-12-07,1797-03-03,MA
Theodore,Sedgwick,1746-05-09,M,rep,1789-03-04,1791-03-03,MA
Samuel,Sewall,1757-12-11,M,rep,1795-12-07,1797-03-03,MA
Richard,Spaight,1758-03-25,M,rep,1797-05-15,1799-03-03,NC
George,Thatcher,1754-04-12,M,rep,1789-03-04,1791-03-03,MA
John,Thomas,1764-10-15,M,rep,1799-12-02,1801-03-03,MD
Richard,Thomas,1744-12-30,M,rep,1795-12-07,1797-03-03,PA
Robert,Waln,1765-02-22,M,rep,1797-05-15,1799-03-03,PA
Dwight,Foster,1757-12-07,M,rep,1793-12-02,1795-03-03,MA
William,Hindman,1743-04-01,M,rep,1791-10-24,1793-03-03,MD
Gouverneur,Morris,1752-01-31,M,sen,1800-01-01,1803-03-03,NY
John,Bacon,1738-04-05,M,rep,1801-12-07,1803-03-03,MA
John,Bird,1768-11-22,M,rep,1799-12-02,1801-03-03,NY
Thomas,Boude,1752-05-17,M,rep,1801-12-07,1803-03-03,PA
John,Breckinridge,1760-12-02,M,sen,1801-12-07,1805-12-31,KY
Samuel,Cabell,1756-12-15,M,rep,1795-12-07,1797-03-03,VA
John,Colhoun,#N/A,M,sen,1801-12-07,1803-03-03,SC
Thomas,Davis,#N/A,M,rep,1797-05-15,1799-03-03,KY
Christopher,Ellery,1768-11-01,M,sen,1801-12-07,1805-03-03,RI
Lucas,Elmendorf,#N/A,M,rep,1797-05-15,1799-03-03,NY
Paul,Fearing,1762-02-28,M,rep,1801-12-07,1803-03-03,OH
Abiel,Foster,1735-08-08,M,rep,1789-03-04,1791-03-03,NH
Thomas,Greene,1758-02-26,M,rep,1801-12-07,1803-03-03,MS
William,Grove,1764-01-15,M,rep,1791-10-24,1793-03-03,NC
Archibald,Henderson,1768-08-07,M,rep,1799-12-02,1801-03-03,NC
William,Hill,1767-05-01,M,rep,1799-12-02,1801-03-03,NC
Narsworthy,Hunter,#N/A,M,rep,1801-12-07,1803-03-03,MS
George,Jackson,1757-01-09,M,rep,1795-12-07,1797-03-03,VA
James,Jackson,1757-09-21,M,rep,1789-03-04,1791-03-03,GA
Charles,Johnson,#N/A,M,rep,1801-12-07,1803-03-03,NC
William,Jones,#N/A,M,rep,1801-12-07,1803-03-03,PA
Silas,Lee,1760-07-03,M,rep,1799-12-02,1801-03-03,MA
Levi,Lincoln,1749-05-15,M,rep,1799-12-02,1801-03-03,MA
George,Logan,1753-09-09,M,sen,1801-12-07,1807-03-03,PA
Ebenezer,Mattoon,1755-08-19,M,rep,1799-12-02,1801-03-03,MA
Lewis,Morris,1760-11-02,M,rep,1797-05-15,1799-03-03,VT
Thomas,Morris,1771-02-26,M,rep,1801-12-07,1803-03-03,NY
John,Muhlenberg,1746-10-01,M,rep,1789-03-04,1791-03-03,PA
Aaron,Ogden,1756-12-03,M,sen,1801-12-07,1803-03-03,NJ
Simeon,Olcott,1735-10-01,M,sen,1801-12-07,1805-03-03,NH
Joseph,Peirce,1748-06-25,M,rep,1801-12-07,1803-03-03,NH
Elias,Perkins,1767-04-05,M,rep,1801-12-07,1803-03-03,CT
Nathan,Read,1759-07-02,M,rep,1799-12-02,1801-03-03,MA
John,Rutledge,#N/A,M,rep,1797-05-15,1799-03-03,SC
James,Sheafe,1755-11-16,M,rep,1799-12-02,1801-03-03,NH
William,Shepard,1737-12-01,M,rep,1797-05-15,1799-03-03,MA
Josiah,Smith,1738-02-26,M,rep,1801-12-07,1803-03-03,MA
"Richard,",Sprigg,#N/A,M,rep,1795-12-07,1797-03-03,MD
John,Stratton,1769-08-19,M,rep,1801-12-07,1803-03-03,VA
Benjamin,Taliaferro,#N/A,M,rep,1799-12-02,1801-03-03,GA
Thomas,Tillinghast,1742-08-21,M,rep,1797-05-15,1799-03-03,RI
Uriah,Tracy,1755-02-02,M,rep,1793-12-02,1795-03-03,CT
George,Upham,1768-12-27,M,rep,1801-12-07,1803-03-03,NH
John,Van Ness,1769-11-04,M,rep,1801-12-07,1803-03-03,NY
Benjamin,Walker,#N/A,M,rep,1801-12-07,1803-03-03,NY
Robert,Williams,#N/A,M,rep,1797-05-15,1799-03-03,NC
Henry,Woods,#N/A,M,rep,1799-12-02,1801-03-03,PA
Pierce,Butler,1744-07-11,M,sen,1789-03-04,1793-03-03,SC
De,Clinton,1769-03-02,M,sen,1802-01-01,1803-12-31,NY
William,Plumer,1759-06-25,M,sen,1802-01-01,1807-03-03,NH
Theodorus,Bailey,1758-10-12,M,rep,1793-12-02,1795-03-03,NY
Simeon,Baldwin,1761-12-14,M,rep,1803-10-17,1805-03-03,CT
Walter,Bowie,#N/A,M,rep,1801-12-07,1803-03-03,MD
Phineas,Bruce,1762-06-07,M,rep,1803-10-17,1805-03-03,MA
Thomas,Claiborne,1749-02-01,M,rep,1793-12-02,1795-03-03,VA
Manasseh,Cutler,1742-05-13,M,rep,1801-12-07,1803-03-03,MA
John,Dennis,1771-12-17,M,rep,1797-05-15,1799-03-03,MD
Thomas,Dwight,1758-10-29,M,rep,1803-10-17,1805-03-03,MA
John,Earle,1766-10-23,M,rep,1803-10-17,1805-03-03,SC
James,Gillespie,#N/A,M,rep,1793-12-02,1795-03-03,NC
Thomas,Griffin,#N/A,M,rep,1803-10-17,1805-03-03,VA
Gaylord,Griswold,1767-12-18,M,rep,1803-10-17,1805-03-03,NY
Samuel,Hammond,1757-09-21,M,rep,1803-10-17,1805-03-03,GA
Wade,Hampton,#N/A,M,rep,1795-12-07,1797-03-03,SC
Daniel,Hiester,1747-06-25,M,rep,1789-03-04,1791-03-03,PA
John,Hoge,1760-09-10,M,rep,1803-10-17,1805-03-03,PA
Samuel,Hunt,1765-07-08,M,rep,1801-12-07,1803-03-03,NH
Simon,Larned,1753-08-03,M,rep,1803-10-17,1805-03-03,MA
Thomas,Lewis,#N/A,M,rep,1803-10-17,1805-03-03,VA
Thomas,Lowndes,1766-01-22,M,rep,1801-12-07,1803-03-03,SC
Samuel,Maclay,1741-06-17,M,rep,1795-12-07,1797-03-03,PA
Andrew,McCord,#N/A,M,rep,1803-10-17,1805-03-03,NY
Nahum,Mitchell,1769-02-12,M,rep,1803-10-17,1805-03-03,MA
James,Mott,1739-01-18,M,rep,1801-12-07,1803-03-03,NJ
Beriah,Palmer,#N/A,M,rep,1803-10-17,1805-03-03,NY
John,Paterson,#N/A,M,rep,1803-10-17,1805-03-03,NY
Oliver,Phelps,1749-10-21,M,rep,1803-10-17,1805-03-03,NY
Thomas,Plater,1769-05-09,M,rep,1801-12-07,1803-03-03,MD
Samuel,Potter,1753-06-29,M,sen,1803-10-17,1805-03-03,RI
Samuel,Purviance,1774-01-07,M,rep,1803-10-17,1805-03-03,NC
Thomson,Skinner,1752-05-24,M,rep,1795-12-07,1797-03-03,MA
Israel,Smith,1759-04-04,M,rep,1791-10-24,1793-03-03,VT
John,Smith,#N/A,M,sen,1803-10-17,1809-03-03,OH
John,Stewart,#N/A,M,rep,1799-12-02,1801-03-03,PA
Samuel,Thatcher,1776-07-01,M,rep,1801-12-07,1803-03-03,MA
George,Tibbits,1763-01-14,M,rep,1803-10-17,1805-03-03,NY
John,Trigg,#N/A,M,rep,1797-05-15,1799-03-03,VA
Isaac,Van Horne,1754-01-13,M,rep,1801-12-07,1803-03-03,PA
Abraham,Venable,1758-11-20,M,rep,1791-10-24,1793-03-03,VA
Samuel,White,#N/A,M,sen,1801-12-07,1803-03-03,DE
Lemuel,Williams,1747-06-18,M,rep,1799-12-02,1801-03-03,MA
John,Armstrong,1758-11-25,M,sen,1800-11-06,1801-03-03,NY
Benjamin,Howland,1755-07-27,M,sen,1804-01-01,1809-03-03,RI
Andrew,Moore,#N/A,M,rep,1789-03-04,1791-03-03,VA
Nathaniel,Alexander,1756-03-05,M,rep,1803-03-04,1805-03-03,NC
Isaac,Anderson,1760-11-23,M,rep,1803-10-17,1805-03-03,PA
John,Archer,1741-05-05,M,rep,1801-12-07,1803-03-03,MD
Abraham,Baldwin,1754-11-22,M,rep,1789-03-04,1791-03-03,GA
George,Bedinger,1756-12-10,M,rep,1803-10-17,1805-03-03,KY
Silas,Betton,1768-08-26,M,rep,1803-10-17,1805-03-03,NH
Phanuel,Bishop,1739-09-03,M,rep,1799-12-02,1801-03-03,MA
Joseph,Bryan,1773-08-18,M,rep,1803-10-17,1805-03-03,GA
Levi,Casey,#N/A,M,rep,1803-10-17,1805-03-03,SC
Christopher,Clark,#N/A,M,rep,1803-10-17,1805-03-03,VA
Frederick,Conrad,#N/A,M,rep,1803-10-17,1805-03-03,PA
Leonard,Covington,1768-10-30,M,rep,1805-12-02,1807-03-03,MD
William,Dickson,1770-05-05,M,rep,1801-12-07,1803-03-03,TN
Theodore,Dwight,1764-12-15,M,rep,1805-12-02,1807-03-03,CT
Peter,Early,1773-06-20,M,rep,1801-12-07,1803-03-03,GA
Caleb,Ellis,1767-04-16,M,rep,1805-12-02,1807-03-03,NH
Ebenezer,Elmer,1752-08-23,M,rep,1801-12-07,1803-03-03,NJ
James,Fenner,1771-01-22,M,sen,1805-12-02,1807-12-31,RI
John,Fowler,#N/A,M,rep,1797-05-15,1799-03-03,KY
Calvin,Goddard,1768-07-17,M,rep,1801-12-07,1803-03-03,CT
Roger,Griswold,1762-05-21,M,rep,1795-12-07,1797-03-03,CT
Silas,Halsey,1743-10-06,M,rep,1805-12-02,1807-03-03,NY
John,Hamilton,1754-11-25,M,rep,1805-12-02,1807-03-03,PA
John,Hanna,#N/A,M,rep,1797-05-15,1799-03-03,PA
Seth,Hastings,1762-04-08,M,rep,1801-12-07,1803-03-03,MA
David,Hough,1753-03-13,M,rep,1803-10-17,1805-03-03,NH
Aaron,Kitchell,1744-07-10,M,rep,1791-10-24,1793-03-03,NJ
Henry,Livingston,#N/A,M,rep,1803-10-17,1805-03-03,NY
Christian,Lower,1740-01-07,M,rep,1805-12-02,1807-03-03,PA
John,Lucas,1758-08-14,M,rep,1803-10-17,1805-03-03,PA
Patrick,Magruder,#N/A,M,rep,1805-12-02,1807-03-03,MD
Duncan,McFarlan,#N/A,M,rep,1805-12-02,1807-03-03,NC
Cowles,Mead,1776-10-18,M,rep,1805-12-02,1807-03-03,GA
David,Meriwether,1755-04-10,M,rep,1801-12-07,1803-03-03,GA
